x_p1,y_p1,x_p2,y_p2,x_p3,y_p3,x_p4,y_p4,x_p5,y_p5,x_p6,y_p6,x_p7,y_p7,x_p8,y_p8
-38.09016795370596,9.510559038672053,-34.99999999999402,-1.859743469927825e-11,-82.72005226363704,38.37531332587338,-68.00000000002834,-7.799999999989128,-61.761616255610946,-37.951686713506966,-43.31282146829631,-85.48737046413503,-83.53749961470274,-44.72005104172608,-96.49488851373572,-11.416787628217467
-38.583677187677225,9.33579825322542,-34.999999999995275,-1.236461135008932e-11,-83.20160997079363,38.219024729214304,-68.00000000001972,-7.799999999995576,-62.3667964113876,-38.070592484422505,-43.094373223177826,-85.27835685476337,-84.02171969007759,-45.216511618579176,-96.45555221954682,-11.714256163547727
-39.06736381155002,9.135448693691238,-34.99999999999646,-7.916973661896117e-12,-83.65387782095783,38.067153758325794,-68.00000000001492,-7.799999999999136,-63.02094579837029,-38.18504354978238,-42.94055413588582,-85.05483391631273,-84.54994124380339,-45.70184012641878,-96.41564279061285,-11.994178591135782
-39.5399020739176,8.910059504286089,-34.9999999999974,-5.084854938225131e-12,-84.07464800395311,37.92138994946073,-68.00000000001215,-7.800000000001048,-63.725707240927285,-38.292168811836575,-42.85407273927388,-84.8150054692249,-85.12425388810497,-46.17265692314804,-96.37590767483448,-12.255086527163726
-39.999996780257476,8.660248461110541,-34.9999999999981,-3.2516854515517537e-12,-84.4616430670084,37.78348670365548,-68.00000000000934,-7.8000000000012495,-64.48260898690847,-38.38872274635982,-42.837402136937904,-84.55672650204814,-85.74664779635631,-46.62526107158162,-96.33712405832766,-12.495464133437643
-40.446386842963165,8.386700278869899,-34.99999999999859,-2.1329429054106195e-12,-84.81251450006161,37.65524698004991,-68.0000000000069,-7.800000000000535,-65.2930030289728,-38.471064416364506,-42.89269845304846,-84.27746148470646,-86.41894340025252,-47.055618855846824,-96.30009037486579,-12.713748830436352
-40.877848737902774,8.090164734117895,-34.99999999999896,-1.4144593093828458e-12,-85.12484238565145,37.5385055959907,-68.00000000000499,-7.800000000000084,-66.15799060324282,-38.53514280486734,-43.02170465550949,-83.97424547098359,-87.1427067449724,-47.459359530296716,-96.26561595202567,-12.908332995548154
-41.29341143663114,7.771155579358112,-34.99997811928974,-2.1899153140740206e-05,-85.39584303042422,37.43554025660855,-67.99998900726516,-7.7996790700472385,-67.08102777071608,-38.57575541622133,-43.2268728141703,-83.64208404290326,-87.92151761820156,-47.831722131407744,-96.23453229152376,-13.077069352424205
-41.69122101745772,7.431542492739203,-35.000025855093654,3.1897516618259283e-05,-85.62391735109247,37.3467120687802,-67.99996695431062,-7.800130920783078,-68.05363183937291,-38.590175754674235,-43.50456409297387,-83.28171959700427,-88.74829194583779,-48.16771232330885,-96.20751539987339,-13.21996328437394
-42.06841778327402,7.074798227793439,-35.00028284118164,0.0002752921196807804,-85.80898613919746,37.27021199489314,-68.0001296073307,-7.804010262288692,-69.05223364350468,-38.58016743948026,-43.84426223114781,-82.90345934394529,-89.602870690465,-48.463007241799495,-96.1852243830462,-13.339418346943496
-42.42250761218712,6.70411214893714,-35.00072078243309,0.0006400174558313439,-85.95076162994951,37.20480960715645,-68.00090792193043,-7.813450412330999,-70.0542903478219,-38.548672927899965,-44.23667437398737,-82.51969453115593,-90.46651893921839,-48.71434708243105,-96.16853919383706,-13.437051920518813
-42.75260167961431,6.3206029012532206,-35.00102350954443,0.0008256689758146237,-86.04704190842202,37.15229262314436,-68.00281804918777,-7.8282287016791665,-71.05429034651762,-38.49541610806465,-44.681150699204494,-82.13551087270764,-91.33596769283446,-48.91912164925237,-96.15859603521234,-13.51088893434579
-43.05852603067564,5.924459529633973,-35.00078388869716,0.0005695733217005783,-86.09475839510542,37.115556993821876,-68.00625649121918,-7.847180347606754,-72.05429034684366,-38.41819191846226,-45.18061480000999,-81.75185433929232,-92.21465282914542,-49.074642163515186,-96.15642799759421,-13.557558957191976
-43.340019786280024,5.516031893017801,-34.9996308957517,-0.0002489252999645647,-86.09100521783051,37.09696467994992,-68.01150331878885,-7.8693961100793866,-73.05429034684366,-38.31520710579527,-45.73698236126423,-81.37058804999776,-93.10414670658537,-49.17814817711711,-96.1628194497153,-13.574139721013285
-43.596888951018094,5.095600852481503,-34.99723191728367,-0.0016436883710049368,-86.0328016935411,37.098656780990595,-68.01873128064007,-7.893960385219408,-74.05429034684364,-38.18458204733891,-46.35214527720005,-80.9933748300025,-94.005971590357,-49.22680699302868,-96.17831849627248,-13.557745963422521
