x,y
-19.532138729979003,-3.927324844164838
-19.46519176656104,-3.7440373241551343
-19.40145380778397,-3.559609334107198
-19.34094426884747,-3.3740970525733833
-19.28368158154327,-3.187556988391742
-19.229683188640635,-3.0000459634728696
-19.178965538573145,-2.811621095491435
-19.13154408042832,-2.6223397804875286
-19.0874332592417,-2.4322596753833094
-19.046646511596713,-2.2414386804201403
-19.009196261531812,-2.049934921521601
-18.97509391675596,-1.8578067325878114
-18.944349865173727,-1.665112637726297
-18.91697347172105,-1.4719113334250227
-18.89297307551257,-1.2782616706728525
-18.872355987301482,-1.084222637033006
-18.855128487252564,-0.8898533386748189
-18.841295823029228,-0.6952129823694685
-18.83086220819499,-0.500360857455009
-18.823830820930002,-0.3053563177762544
-18.820203803062945,-0.11025876360506189
-18.819982259418587,0.0848723764536253
-18.823166257481276,0.27997766356426756
-18.82975482737436,0.4749976667663935
-18.83974596215561,0.6698729810778068
-18.853136618428607,0.8645442455899784
-18.869922717269716,1.0589521615499153
-18.89009914547062,1.2530375104231442
-18.91365975709585,1.446741171932261
-18.940597375354848,1.6400041420655012
-18.970903794788157,1.8327675510499908
-19.00456978376683,2.024972681284013
-19.04158508730449,2.216560985222975
-19.081938430181104,2.40747410321352
-19.125617520377524,2.597653881270501
-19.172609052819745,2.7870423887912086
-19.222898713431764,2.9755819362016043
-19.2764711834958,3.163215092529134
-19.333310144318503,3.349884702896716
-19.393398282201787,3.5355339059327346
-19.45671729371677,3.72010615109152
-19.523247891279162,3.9035452158792143
-19.592969809024446,4.085795222979652
-19.665861808981063,4.266800657275182
-19.741901687539716,4.44650638275708
-19.82106628221677,4.624857659320516
-19.90333147870981,4.80180015943893
-19.988672218243053,4.977279984712687
-20.07706250520053,5.151243682287105
-20.168475415044576,5.323638261134683
-20.26288310251732,5.494411208196684
-20.360256810122607,5.663510504379105
-20.46056687688582,5.830884640398232
-20.563782747388892,5.9964826324708485
-20.669872981077802,6.160254037844381
-20.77880526183965,6.322148970162274
-20.890546407846458,6.482118114659814
-21.00506238166269,6.640112743185942
-21.122318300613387,6.796084729046279
-21.24227844740976,6.949986561663004
-21.364906281028993,7.101771361047009
-21.49016444784506,7.251392892078033
-21.61801479300694,7.398805578588311
-21.748418372060982,7.543964517245511
-21.881335462813773,7.686825491230741
-22.01672557743185,7.827344983707384
-22.154547474774755,7.965480191076797
-22.29475917295745,8.101189036016667
-22.437317962138415,8.234430180298194
-22.58218041752945,8.365163037378078
-22.729302412623337,8.493347784761625
-22.878639132635172,8.618945376133025
-23.030145088153372,8.741917553249255
-23.183774128996234,8.862226857593916
-23.339479458269654,8.97983664178743
-23.497213646622,9.094711080750221
-23.65692864669149,9.206815182615372
-23.818575807741915,9.316114799387485
-23.9821058904821,9.422576637344466
-24.14746908206469,9.526168267179163
-24.314615011259622,9.626858133877613
-24.483492763797685,9.724615566331018
-24.65405089787951,9.819410786678453
-24.826237459845206,9.911214919377494
-24.999999999999996,9.999999999999998
