x_p1,y_p1,x_p2,y_p2,x_p3,y_p3,x_p4,y_p4,x_p5,y_p5,x_p6,y_p6,x_p7,y_p7,x_p8,y_p8
-25.151922548201384,1.7364817628583054,-35.000000000000014,-5.252606240444972e-15,-61.76812226674327,40.26249783471699,-67.99999999999997,-7.799999999999993,-60.6238975174395,-37.69369688338171,-68.85756609012111,-88.01473326280197,-82.82147779217524,-32.47187440081853,-95.34302222405272,0.9976778197852972
-25.183728243593862,1.908089938589649,-35.000000000000014,-6.144918570553401e-15,-61.954783544111535,40.2863323212008,-67.99999999999997,-7.799999999999993,-60.49891065880553,-37.66257959299544,-68.53997915926013,-88.01475151915116,-82.71630833353791,-32.52572835660321,-95.37697523271028,0.8914455898551104
-25.218524070455707,2.0791168916416165,-35.000000000000014,-7.046712654451388e-15,-62.1431406473401,40.30963725216599,-67.99999999999997,-7.799999999999993,-60.37626268858917,-37.63150399699751,-68.22191553144225,-88.01449449601562,-82.61342297760177,-32.580889944062505,-95.41080185250152,0.7841680496449807
-25.256299429640972,2.2495105255475325,-35.00000000000002,-8.420487181010122e-15,-62.33316881953943,40.33239057320529,-67.99999999999997,-7.799999999999993,-60.25596392558604,-37.600501785340136,-67.90340876606987,-88.01395819738542,-82.5128154066375,-32.63738158229211,-95.44448656848593,0.6758572581999012
-25.297042814409323,2.4192189367558665,-35.000000000000014,-8.372069932555548e-15,-62.52484296051685,40.35457042918404,-67.99999999999997,-7.799999999999993,-60.13802454265796,-37.56960435329259,-67.58449274843738,-88.013138241182,-82.41447910169234,-32.695225188009786,-95.478013944971,0.5665254960727508
-25.34074181393106,2.588190430440564,-35.000000000000014,-7.93146391928992e-15,-62.718137617807635,40.37615517564568,-67.99999999999997,-7.799999999999993,-60.02245458253738,-37.53884279220098,-67.26520172196355,-88.0120298676353,-82.31840736574881,-32.75444215844365,-95.51136863119586,0.45618527177722934
-25.38738311706761,2.7563735362477857,-35.000000000000014,-7.437953035561598e-15,-62.91302697792745,40.397123390408986,-67.99999999999997,-7.799999999999993,-59.909263973854635,-37.5082478804396,-66.94557031989086,-88.01062794830949,-82.22459334733391,-32.815053354735134,-95.54453536715052,0.344849328133075
-25.436952516426214,2.923717023974275,-35.000000000000014,-7.56042116902885e-15,-63.10948485784619,40.41745388535655,-67.99999999999997,-7.799999999999993,-59.79846254738298,-37.47785007454618,-66.6256335964319,-88.00892699575977,-82.13303006456908,-32.87707908585625,-95.57749898953007,0.23253064850216912
-25.48943491268763,3.0901699191725784,-35.00000000000001,-7.81448334549241e-15,-63.30748469668508,40.4371257184134,-67.99999999999997,-7.799999999999993,-59.69006005249632,-37.44767950053378,-66.30542705735358,-88.00692117380001,-82.04371042965025,-32.94053909303542,-95.61024443782424,0.11924246291547581
-25.544814319205553,3.255681518678351,-35.0,-8.173495000054648e-15,-63.50699954763716,40.45611820571459,-67.99999999999997,-7.799999999999993,-59.58406617383426,-37.41776594537056,-65.98498668998025,-88.00460430836038,-81.9566272737483,-33.005452534690356,-95.64275676054078,0.004998254089390915
-25.60307386687629,3.4202014060550385,-35.00000000000001,-8.077384747133792e-15,-63.70800207011206,40.47441093396026,-67.99999999999997,-7.799999999999993,-59.48049054816959,-37.38813884861848,-65.66434899260999,-88.00196989891063,-81.87177337231715,-33.07183797185918,-95.67502112156238,-0.11018823666767566
